seed,split_id,feature_set,train_index_hash,test_index_hash,record_type,fold,cutoff_rule,transfer_strategy,fold_training_cutoff_value,base_epochs,high_epochs,frozen_layers,r2,mape_pct,rmse,rmse_q3,rmse_q3_iqr2,mae,median_ae,mean_error,underestimation_rate,n_rmse_q3,n_rmse_q3_iqr2,selection_rank
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,2,Mean,Conservative,152174.22064308226,97.0,200.0,"[""dense_3"", ""dense_4""]",0.8163769025256133,17.881293924886148,43315.4756147252,72669.2698068964,84861.52784414943,26411.018044553406,15250.088813359078,-4699.481167435537,0.4639175257731959,27.0,18.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,2,Mean,Balanced,152174.22064308226,97.0,9.0,"[""dense_3""]",0.9294824866420479,15.474977938055973,26842.806926051475,38062.02892064005,40746.06255886549,19951.661375701027,15250.088813359078,1672.2813720192391,0.41237113402061853,27.0,18.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,2,Mean,Aggressive,152174.22064308226,97.0,5.0,[],0.6440950015255591,23.914581420109133,60304.049502487505,92695.35063137618,111026.16868101885,37003.14634374005,16815.266018169117,2238.9946925227146,0.4329896907216495,27.0,18.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,2,Q3,Conservative,182533.59792,127.0,98.0,"[""dense_3"", ""dense_4""]",0.8024723967127293,17.56197987881478,44925.542484064135,68514.22682246663,75400.95208209747,25941.796104807272,12341.733375107491,2138.771928025118,0.4639175257731959,27.0,18.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,2,Q3,Balanced,182533.59792,127.0,19.0,"[""dense_3""]",0.8729981758769549,16.19167016531994,36023.376093549734,47960.6543244536,51439.089497741275,21152.842137941763,9892.017256041334,5957.62544571735,0.4329896907216495,27.0,18.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,2,Q3,Aggressive,182533.59792,127.0,111.0,[],0.8589995085356911,16.823041068424,37956.81351025076,42901.55246406851,49353.493377959334,21916.63659981079,9988.79702011877,6242.358450042689,0.4536082474226804,27.0,18.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,2,Q3+IQR/2,Conservative,231399.26982,85.0,200.0,"[""dense_3"", ""dense_4""]",0.8514378996307765,17.97570604071285,38961.30080604535,68118.82529009566,81026.38055664711,23012.50004490296,11409.90655988353,-4046.0661693427346,0.5051546391752577,27.0,18.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,2,Q3+IQR/2,Balanced,231399.26982,85.0,36.0,"[""dense_3""]",0.9066072803262425,16.747794506303133,30891.282862230222,51136.95559340148,60921.6122679013,19443.476115733883,11362.358777745452,-1527.2065051840912,0.4948453608247423,27.0,18.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,2,Q3+IQR/2,Aggressive,231399.26982,85.0,33.0,[],0.821368895180987,17.684945459417296,42722.629515889595,75788.93659584716,91140.00286709398,23552.929896078513,11409.90655988353,-6023.459050985682,0.4948453608247423,27.0,18.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,aggregate,,Mean,Balanced,,,,,0.9355525535663322,18.430483050505625,28162.137048497854,38617.0872683931,44363.21943628757,,,,,,,1.0
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,aggregate,,Q3,Balanced,,,,,0.914760721597689,14.967223690192776,32014.528716633107,49400.17435999553,52385.148750865286,,,,,,,2.0
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,aggregate,,Q3+IQR/2,Balanced,,,,,0.9134856976314971,14.072003568168013,32961.89252862288,56853.14610990321,70115.78256215516,,,,,,,3.0
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,aggregate,,Mean,Aggressive,,,,,0.8437032048667753,20.902486641594184,38613.946913356696,59136.511541780164,69221.88382111986,,,,,,,4.0
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,aggregate,,Q3+IQR/2,Conservative,,,,,0.8912672038608579,14.80610903800486,36447.21461679775,65071.481999436066,79115.25895003208,,,,,,,5.0
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,aggregate,,Q3,Conservative,,,,,0.8665240962896469,15.297467923979362,40109.67748092638,69759.14227360563,81129.32862254475,,,,,,,6.0
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,aggregate,,Mean,Conservative,,,,,0.8426380265949415,20.86993005651947,44242.21764182984,76045.76722145948,93857.54383734318,,,,,,,7.0
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,aggregate,,Q3,Aggressive,,,,,0.7756142124386516,17.9196843091479,50334.11166448889,85034.95312754049,84453.41536706079,,,,,,,8.0
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,aggregate,,Q3+IQR/2,Aggressive,,,,,0.7471030652686106,16.207504050262525,56747.63142478804,108238.07238746686,131754.72458009588,,,,,,,9.0
